TF	interaction	target_gene	regulation
HNF1A	aa	MIR122	Activation
HNF1A	aa	MIR1942	Activation
HNF1A	aa	MTMR11	Activation
HNF1A	aa	MTTP	Activation
HNF1A	aa	MUC1	Activation
HNF1A	aa	MUC4	Activation
HNF1A	aa	MUC5AC	Activation
HNF1A	aa	NOX1	Activation
HNF1A	aa	NR1H4	Activation
HNF1A	aa	NR5A2	Activation
HNF1A	ii	OGDH	Inhibition
HNF1A	aa	ONECUT1	Activation
HNF1A	aa	PAH	Activation
HNF1A	aa	PAX4	Activation
HNF1A	aa	PCSK9	Activation
HNF1A	aa	PDPK1	Activation
HNF1A	aa	PDX1	Activation
HNF1A	aa	PFKFB2	Activation
HNF1A	aa	PFKL	Activation
HNF1A	aa	PGK1	Activation
HNF1A	aa	PIGR	Activation
HNF1A	aa	PKD2	Activation
HNF1A	aa	PKHD1	Activation
HNF1A	aa	PKLR	Activation
HNF1A	aa	PPARD	Activation
HNF1A	aa	PPARG	Activation
HNF1A	aa	PPP1R1A	Activation
HNF1A	aa	PROC	Activation
HNF1A	aa	PRODH2	Activation
HNF1A	aa	RAB37	Activation
HNF1A	aa	RNASE4	Activation
HNF1A	ii	RORA	Inhibition
HNF1A	aa	RORC	Activation
HNF1A	aa	S100G	Activation
HNF1A	aa	SEMA4A	Activation
HNF1A	aa	SERPINA6	Activation
HNF1A	aa	SI	Activation
HNF1A	aa	SLC10A2	Activation
HNF1A	aa	SLC12A7	Activation
HNF1A	aa	SLC17A1	Activation
HNF1A	aa	SLC22A1	Activation
HNF1A	aa	SLC22A10	Activation
HNF1A	aa	SLC22A12	Activation
HNF1A	aa	SLC22A6	Activation
HNF1A	aa	SLC22A9	Activation
HNF1A	aa	SLC23A1	Activation
HNF1A	aa	SLC26A3	Activation
HNF1A	aa	SLC28A2	Activation
HNF1A	aa	SLC2A2	Activation
HNF1A	aa	SLC37A4	Activation
HNF1A	aa	SLC38A4	Activation
HNF1A	aa	SLC4A2	Activation
HNF1A	aa	SLC5A1	Activation
HNF1A	aa	SLC5A2	Activation
HNF1A	aa	SLC6A19	Activation
HNF1A	ii	SLCO1A2	Inhibition
HNF1A	aa	SLCO1B1	Activation
HNF1A	aa	SLCO1B3	Activation
HNF1A	ii	SNAI1	Inhibition
HNF1A	ii	SNAI2	Inhibition
HNF1A	aa	SOAT2	Activation
HNF1A	aa	SRC	Activation
HNF1A	aa	SULT2A1	Activation
HNF1A	aa	T	Activation
HNF1A	aa	TAT	Activation
HNF1A	aa	TMED6	Activation
HNF1A	aa	TTR	Activation
HNF1A	aa	TYR	Activation
HNF1A	aa	UCP2	Activation
HNF1A	aa	UGT1A1	Activation
HNF1A	aa	UGT1A10	Activation
HNF1A	aa	UGT1A3	Activation
HNF1A	aa	UGT1A4	Activation
HNF1A	aa	UGT1A7	Activation
HNF1A	aa	UGT1A8	Activation
HNF1A	aa	UGT1A9	Activation
HNF1A	aa	UGT2B17	Activation
HNF1A	aa	UGT2B7	Activation
HNF1B	aa	ACE2	Activation
HNF1B	aa	AFM	Activation
HNF1B	aa	AFP	Activation
HNF1B	aa	B3GALT5	Activation
HNF1B	aa	CDH6	Activation
HNF1B	aa	DPP4	Activation
HNF1B	aa	FABP1	Activation
HNF1B	aa	G6PC	Activation
HNF1B	ii	GC	Inhibition
HNF1B	aa	HNF4A	Activation
HNF1B	aa	IFT88	Activation
HNF1B	aa	IGFBP1	Activation
HNF1B	aa	JAG1	Activation
HNF1B	aa	KIF12	Activation
HNF1B	aa	KIFAP3	Activation
HNF1B	aa	LCT	Activation
HNF1B	aa	LHX1	Activation
HNF1B	aa	MAFB	Activation
HNF1B	aa	MUC4	Activation
HNF1B	aa	MUC5AC	Activation
HNF1B	aa	NEUROD4	Activation
HNF1B	aa	NNMT	Activation
HNF1B	aa	ONECUT1	Activation
HNF1B	aa	PAX2	Activation
HNF1B	aa	PCSK9	Activation
HNF1B	aa	PDE4C	Activation
HNF1B	aa	PIGR	Activation
HNF1B	aa	PKD2	Activation
HNF1B	aa	PKHD1	Activation
HNF1B	ii	PTH	Inhibition
HNF1B	aa	RAX	Activation
HNF1B	aa	SERPINA6	Activation
HNF1B	aa	SI	Activation
HNF1B	aa	SLC22A1	Activation
HNF1B	aa	SLC22A12	Activation
HNF1B	aa	SLC22A6	Activation
HNF1B	aa	SLC23A1	Activation
HNF1B	aa	SLC26A3	Activation
HNF1B	aa	SLC28A2	Activation
HNF1B	aa	SLC4A2	Activation
HNF1B	aa	SOAT2	Activation
HNF1B	ii	SOCS3	Inhibition
HNF1B	aa	SPP1	Activation
HNF1B	ii	SULF1	Inhibition
HNF1B	aa	SULT2A1	Activation
HNF1B	aa	TFAP2B	Activation
HNF1B	aa	UGT1A8	Activation
HNF1B	aa	UMOD	Activation
HNF1B	aa	VPS33B	Activation
HNF1B	aa	WNT9B	Activation
HNF3	ii	ALDOB	Inhibition
HNF3	aa	APOB	Activation
HNF3	aa	CYP7A1	Activation
HNF3	aa	NKX21	Activation
HNF3	ii	ONECUT1	Inhibition
HNF3	aa	PROC	Activation
HNF3	aa	PROS1	Activation
HNF4	aa	AFP	Activation
HNF4	aa	ALDH2	Activation
HNF4	aa	AMBP	Activation
HNF4	aa	APOA4	Activation
HNF4	aa	APOC3	Activation
HNF4	aa	CYP2C9	Activation
HNF4	aa	CYP3A7	Activation
HNF4	aa	EPO	Activation
HNF4	ii	GLS2	Inhibition
HNF4	aa	HNF1B	Activation
HNF4	aa	HSD17B7	Activation
HNF4	aa	MST1	Activation
HNF4	aa	MYC	Activation
HNF4	aa	OTC	Activation
HNF4	aa	PDK4	Activation
HNF4	aa	POLK	Activation
HNF4	aa	PRLR	Activation
HNF4	aa	PSG5	Activation
HNF4	aa	SERPINA1	Activation
HNF4A	aa	A2M	Activation
HNF4A	aa	ABCB6	Activation
HNF4A	aa	ABCC6	Activation
HNF4A	ii	ABCG1	Inhibition
HNF4A	aa	ABCG5	Activation
HNF4A	aa	ABCG8	Activation
HNF4A	aa	ACADM	Activation
HNF4A	aa	ACAT2	Activation
HNF4A	aa	ACMSD	Activation
HNF4A	aa	ACOT2	Activation
HNF4A	ii	ACTA2	Inhibition
HNF4A	aa	AFP	Activation
HNF4A	aa	AGT	Activation
HNF4A	aa	AGXT	Activation
HNF4A	aa	AK2	Activation
HNF4A	aa	AKR1A1	Activation
HNF4A	aa	AKR1C4	Activation
HNF4A	aa	AKR1D1	Activation
HNF4A	aa	ALAD	Activation
HNF4A	aa	ALB	Activation
HNF4A	aa	ALDH1L1	Activation
HNF4A	aa	ALDH6A1	Activation
HNF4A	aa	ALDOB	Activation
HNF4A	aa	ALPI	Activation
HNF4A	aa	ANKS4B	Activation
HNF4A	aa	APOA1	Activation
HNF4A	aa	APOA2	Activation
HNF4A	aa	APOA4	Activation
HNF4A	aa	APOA5	Activation
HNF4A	aa	APOB	Activation
HNF4A	aa	APOC2	Activation
HNF4A	aa	APOC3	Activation
HNF4A	aa	APOH	Activation
HNF4A	aa	APOM	Activation
HNF4A	aa	AQP11	Activation
HNF4A	aa	ARHGAP35	Activation
HNF4A	aa	ASAH1	Activation
HNF4A	aa	ASGR1	Activation
HNF4A	ii	ATP4A	Inhibition
HNF4A	aa	BEX1	Activation
HNF4A	ii	BIRC5	Inhibition
HNF4A	aa	BMP6	Activation
HNF4A	aa	BNIP3	Activation
HNF4A	aa	C1QTNF5	Activation
HNF4A	aa	C3	Activation
HNF4A	aa	CANX	Activation
HNF4A	aa	CAPN3	Activation
HNF4A	aa	CASKIN2	Activation
HNF4A	aa	CCDC85B	Activation
HNF4A	aa	CDH1	Activation
HNF4A	ii	CDH2	Inhibition
HNF4A	aa	CDHR5	Activation
HNF4A	aa	CDKN1A	Activation
HNF4A	aa	CDX2	Activation
HNF4A	aa	CEACAM1	Activation
HNF4A	aa	CEACAM5	Activation
HNF4A	aa	CEBPA	Activation
HNF4A	aa	CEBPB	Activation
HNF4A	aa	CEP57	Activation
HNF4A	aa	CERK	Activation
HNF4A	aa	CES2	Activation
HNF4A	aa	c-FLIP (L)	Activation
HNF4A	aa	CGN	Activation
HNF4A	aa	CHD9	Activation
HNF4A	aa	CHP1	Activation
HNF4A	aa	CHST13	Activation
HNF4A	aa	CHST5	Activation
HNF4A	aa	CIDEB	Activation
HNF4A	aa	CLDN1	Activation
HNF4A	aa	CLDN15	Activation
HNF4A	aa	CLDN19	Activation
HNF4A	aa	CLDN2	Activation
HNF4A	aa	CNNM2	Activation
HNF4A	aa	COBL	Activation
HNF4A	aa	COPA	Activation
HNF4A	aa	COPB2	Activation
HNF4A	aa	CPS1	Activation
HNF4A	aa	CPT1A	Activation
HNF4A	aa	CRB3	Activation
HNF4A	aa	CREB3L3	Activation
HNF4A	ii	CRY1	Inhibition
HNF4A	aa	CYB5A	Activation
HNF4A	aa	CYB5R3	Activation
HNF4A	aa	CYP1A1	Activation
HNF4A	aa	CYP1A2	Activation
HNF4A	aa	CYP26A1	Activation
HNF4A	aa	CYP27A1	Activation
HNF4A	aa	CYP2A13	Activation
HNF4A	aa	CYP2A6	Activation
HNF4A	aa	CYP2B6	Activation
HNF4A	aa	CYP2C8	Activation
HNF4A	aa	CYP2C9	Activation
HNF4A	aa	CYP2D6	Activation
HNF4A	ii	CYP39A1	Inhibition
HNF4A	aa	CYP3A4	Activation
HNF4A	aa	CYP3A43	Activation
HNF4A	aa	CYP3A5	Activation
HNF4A	aa	CYP3A7	Activation
HNF4A	aa	CYP4F12	Activation
HNF4A	aa	CYP7A1	Activation
HNF4A	aa	CYP8B1	Activation
HNF4A	aa	DENND1A	Activation
HNF4A	ii	DES	Inhibition
HNF4A	aa	DGAT1	Activation
HNF4A	aa	DGAT2	Activation
HNF4A	aa	DIDO1	Activation
HNF4A	aa	DIO1	Activation
HNF4A	aa	DNAJC25	Activation
HNF4A	aa	DOCK6	Activation
HNF4A	aa	DOLPP1	Activation
HNF4A	aa	DSC2	Activation
HNF4A	aa	DUSP6	Activation
HNF4A	aa	EBP	Activation
HNF4A	ii	ECT2	Inhibition
HNF4A	aa	EGR1	Activation
HNF4A	aa	EHHADH	Activation
HNF4A	aa	EPB41L1	Activation
HNF4A	aa	EPHX1	Activation
HNF4A	aa	EPO	Activation
HNF4A	aa	EPPK1	Activation
HNF4A	aa	EPS15L1	Activation
HNF4A	aa	EPS8L2	Activation
HNF4A	aa	ERBB3	Activation
HNF4A	aa	F10	Activation
HNF4A	aa	F11	Activation
HNF4A	aa	F11R	Activation
HNF4A	aa	F12	Activation
HNF4A	aa	F13B	Activation
HNF4A	aa	F2	Activation
HNF4A	aa	F7	Activation
HNF4A	aa	F8	Activation
HNF4A	aa	F9	Activation
HNF4A	aa	FABP1	Activation
HNF4A	aa	FABP2	Activation
HNF4A	aa	FAM3B	Activation
HNF4A	aa	FASN	Activation
HNF4A	aa	FGA	Activation
HNF4A	aa	FGG	Activation
HNF4A	aa	FGL2	Activation
HNF4A	aa	FIGF	Activation
HNF4A	ii	FLOT2	Inhibition
HNF4A	aa	FMO1	Activation
HNF4A	ii	FN1	Inhibition
HNF4A	ii	FOXA1	Inhibition
HNF4A	aa	FOXA2	Activation
HNF4A	aa	FTCD	Activation
HNF4A	aa	G6PC	Activation
HNF4A	aa	GBF1	Activation
HNF4A	aa	GCK	Activation
HNF4A	ii	GFER	Inhibition
HNF4A	aa	GGT1	Activation
HNF4A	aa	GIT2	Activation
HNF4A	aa	GJB1	Activation
HNF4A	aa	GK	Activation
HNF4A	ii	GLUL	Inhibition
HNF4A	aa	GM2A	Activation
HNF4A	aa	GNA11	Activation
HNF4A	aa	GOLGA1	Activation
HNF4A	aa	GOLGB1	Activation
HNF4A	aa	GPAM	Activation
HNF4A	aa	GPR56	Activation
HNF4A	ii	GRB14	Inhibition
HNF4A	aa	GSTA1	Activation
HNF4A	aa	GYS2	Activation
HNF4A	aa	HAAO	Activation
HNF4A	aa	HCAR3	Activation
HNF4A	aa	HGD	Activation
HNF4A	aa	HHEX	Activation
HNF4A	aa	HIRA	Activation
HNF4A	ii	HJURP	Inhibition
HNF4A	ii	HMGA2	Inhibition
HNF4A	aa	HMGCS1	Activation
HNF4A	aa	HMOX1	Activation
HNF4A	aa	HNF1A	Activation
HNF4A	aa	HNF1B	Activation
HNF4A	aa	HPD	Activation
HNF4A	aa	HSD17B11	Activation
HNF4A	aa	HSD17B4	Activation
HNF4A	aa	HSD3B7	Activation
HNF4A	aa	IFT88	Activation
HNF4A	aa	INHBE	Activation
HNF4A	aa	INS	Activation
HNF4A	aa	IQSEC1	Activation
HNF4A	aa	JUP	Activation
HNF4A	aa	KCNJ11	Activation
HNF4A	aa	KRT18	Activation
HNF4A	ii	KYNU	Inhibition
HNF4A	aa	LCT	Activation
HNF4A	aa	LDLR	Activation
HNF4A	ii	LGALS4	Inhibition
HNF4A	aa	LGALS9	Activation
HNF4A	aa	LIPA	Activation
HNF4A	aa	LIPC	Activation
HNF4A	ii	LOC647211	Inhibition
HNF4A	aa	LPA	Activation
HNF4A	aa	LPIN1	Activation
HNF4A	aa	LRP1	Activation
HNF4A	aa	MGST1	Activation
HNF4A	aa	MIR122	Activation
HNF4A	aa	MIR1241	Activation
HNF4A	aa	MIR1242	Activation
HNF4A	aa	MIR134	Activation
HNF4A	aa	MIR154	Activation
HNF4A	aa	MIR323B	Activation
HNF4A	aa	MIR329-1	Activation
HNF4A	aa	MIR329-2	Activation
HNF4A	aa	MIR376A1	Activation
HNF4A	aa	MIR376A2	Activation
HNF4A	aa	MIR376B	Activation
HNF4A	aa	MIR376C	Activation
HNF4A	aa	MIR379	Activation
HNF4A	aa	MIR380	Activation
HNF4A	aa	MIR381	Activation
HNF4A	aa	MIR382	Activation
HNF4A	aa	MIR485	Activation
HNF4A	aa	MIR487A	Activation
HNF4A	aa	MIR487B	Activation
HNF4A	aa	MIR495	Activation
HNF4A	aa	MIR496	Activation
HNF4A	aa	MIR539	Activation
HNF4A	aa	MIR543	Activation
HNF4A	aa	MIR544A	Activation
HNF4A	aa	MIR654	Activation
HNF4A	aa	MIR655	Activation
HNF4A	aa	MIR668	Activation
HNF4A	aa	MIR889	Activation
HNF4A	ii	MKI67	Inhibition
HNF4A	aa	MLX	Activation
HNF4A	ii	MMP14	Inhibition
HNF4A	aa	MTTP	Activation
HNF4A	aa	MUC17	Activation
HNF4A	aa	MUC4	Activation
HNF4A	aa	MUC5AC	Activation
HNF4A	aa	MVP	Activation
HNF4A	ii	MYC	Inhibition
HNF4A	aa	NADK	Activation
HNF4A	aa	NBL1	Activation
HNF4A	aa	NEU3	Activation
HNF4A	aa	NEURL1	Activation
HNF4A	ii	NFE2L2	Inhibition
HNF4A	aa	NFX1	Activation
HNF4A	aa	NINJ1	Activation
HNF4A	ii	NLN	Inhibition
HNF4A	aa	NOS2	Activation
HNF4A	aa	NPC1L1	Activation
HNF4A	aa	NPR1	Activation
HNF4A	aa	NQO2	Activation
HNF4A	aa	NR1H4	Activation
HNF4A	aa	NR1I2	Activation
HNF4A	aa	NR5A2	Activation
HNF4A	aa	NSMF	Activation
HNF4A	aa	OCLN	Activation
HNF4A	aa	ONECUT1	Activation
HNF4A	ii	OSGIN1	Inhibition
HNF4A	aa	OTC	Activation
HNF4A	aa	PAH	Activation
HNF4A	aa	PAK7	Activation
HNF4A	aa	PAX4	Activation
HNF4A	aa	PC	Activation
HNF4A	aa	PCK1	Activation
HNF4A	aa	PCK2	Activation
HNF4A	ii	PCP4L1	Inhibition
HNF4A	aa	PCYT2	Activation
HNF4A	aa	PDK2	Activation
HNF4A	aa	PDZK1	Activation
HNF4A	ii	PEA15	Inhibition
HNF4A	aa	PEMT	Activation
HNF4A	aa	PERP	Activation
HNF4A	aa	PIPOX	Activation
HNF4A	aa	PKLR	Activation
HNF4A	aa	PLA2G12B	Activation
HNF4A	aa	PLXNC1	Activation
HNF4A	aa	PPARA	Activation
HNF4A	aa	PPARD	Activation
HNF4A	ii	PPARG	Inhibition
HNF4A	aa	PRODH2	Activation
HNF4A	aa	PROS1	Activation
HNF4A	aa	PROZ	Activation
HNF4A	aa	PRPF3	Activation
HNF4A	aa	PRUNE	Activation
HNF4A	aa	PTP4A1	Activation
HNF4A	aa	RAB32	Activation
HNF4A	aa	RAB5B	Activation
HNF4A	aa	RAB5C	Activation
HNF4A	aa	RANBP3	Activation
HNF4A	ii	RARG	Inhibition
HNF4A	aa	RBP2	Activation
HNF4A	aa	RBP4	Activation
HNF4A	aa	RGN	Activation
HNF4A	aa	RGS3	Activation
HNF4A	aa	RIN3	Activation
HNF4A	aa	RIPK4	Activation
HNF4A	ii	RORA	Inhibition
HNF4A	aa	RORC	Activation
HNF4A	aa	RPS6KA1	Activation
HNF4A	aa	RPS6KA6	Activation
HNF4A	ii	RRM2	Inhibition
HNF4A	aa	RXRA	Activation
HNF4A	aa	SAA1	Activation
HNF4A	aa	SCARB1	Activation
HNF4A	aa	SCNN1A	Activation
HNF4A	aa	SEC24D	Activation
HNF4A	aa	SEMA4G	Activation
HNF4A	aa	SERPINA1	Activation
HNF4A	aa	SERPINC1	Activation
HNF4A	aa	SFXN3	Activation
HNF4A	aa	SGK2	Activation
HNF4A	aa	SHARPIN	Activation
HNF4A	ii	SHROOM1	Inhibition
HNF4A	aa	SLC10A1	Activation
HNF4A	aa	SLC12A7	Activation
HNF4A	aa	SLC16A4	Activation
HNF4A	ii	SLC16A6	Inhibition
HNF4A	ii	SLC1A4	Inhibition
HNF4A	aa	SLC22A1	Activation
HNF4A	aa	SLC22A6	Activation
HNF4A	aa	SLC22A7	Activation
HNF4A	aa	SLC22A8	Activation
HNF4A	aa	SLC25A20	Activation
HNF4A	aa	SLC25A43	Activation
HNF4A	aa	SLC26A2	Activation
HNF4A	aa	SLC26A3	Activation
HNF4A	aa	SLC28A1	Activation
HNF4A	aa	SLC2A2	Activation
HNF4A	aa	SLC2A4RG	Activation
HNF4A	aa	SLC35A2	Activation
HNF4A	aa	SLC35C1	Activation
HNF4A	aa	SLC37A4	Activation
HNF4A	aa	SLC38A3	Activation
HNF4A	aa	SLC38A4	Activation
HNF4A	aa	SLC39A4	Activation
HNF4A	aa	SLC39A5	Activation
HNF4A	aa	SLC46A1	Activation
HNF4A	aa	SLC47A1	Activation
HNF4A	aa	SLC51A	Activation
HNF4A	aa	SLC6A19	Activation
HNF4A	aa	SLC7A9	Activation
HNF4A	aa	SLC9A3R1	Activation
HNF4A	aa	SLCO2B1	Activation
HNF4A	aa	SMPDL3A	Activation
HNF4A	ii	SNAI1	Inhibition
HNF4A	ii	SNAI2	Inhibition
HNF4A	aa	SNX24	Activation
HNF4A	aa	SNX5	Activation
HNF4A	aa	SPG21	Activation
HNF4A	aa	SREBP1 precursor	Activation
HNF4A	aa	SRSF11	Activation
HNF4A	ii	SULT1A3	Inhibition
HNF4A	aa	SULT1B1	Activation
HNF4A	aa	SULT1C2	Activation
HNF4A	aa	SULT1E1	Activation
HNF4A	aa	SULT2A1	Activation
HNF4A	ii	SYNPO	Inhibition
HNF4A	aa	TAF1	Activation
HNF4A	aa	TASP1	Activation
HNF4A	aa	TCEAL8	Activation
HNF4A	aa	TF	Activation
HNF4A	ii	TIFA	Inhibition
HNF4A	ii	TKT	Inhibition
HNF4A	ii	TM4SF4	Inhibition
HNF4A	aa	TMEM37	Activation
HNF4A	aa	TRAF7	Activation
HNF4A	aa	TREH	Activation
HNF4A	ii	TSKU	Inhibition
HNF4A	aa	TTR	Activation
HNF4A	aa	TXNRD1	Activation
HNF4A	aa	UGT1A7	Activation
HNF4A	aa	UGT1A9	Activation
HNF4A	aa	UGT2A3	Activation
HNF4A	aa	UGT2B7	Activation
HNF4A	aa	UPP2	Activation
HNF4A	ii	USP21	Inhibition
HNF4A	aa	USP31	Activation
HNF4A	ii	VIM	Inhibition
HNF4A	aa	VPS18	Activation
HNF4A	aa	VTN	Activation
HNF4A	aa	XYLB	Activation
HNF4A	ii	ZFP62	Inhibition
HNF4A	aa	ZFYVE16	Activation
HNF4A	aa	ZNF362	Activation
HNF4G	aa	AKR1C4	Activation
HNF4G	aa	APOA4	Activation
HNF4G	aa	CEACAM1	Activation
HNF4G	aa	F8	Activation
HNF4G	aa	MUC4	Activation
HNF4G	aa	MUC5AC	Activation
HOXA1	aa	EPHA2	Activation
HOXA1	aa	GBX2	Activation
HOXA1	aa	HOXB1	Activation
HOXA10	aa	ALPL	Activation
HOXA10	aa	ARIH2	Activation
HOXA10	aa	BGLAP	Activation
HOXA10	aa	CDKN1A	Activation
HOXA10	aa	CDX4	Activation
HOXA10	ii	CYBB	Inhibition
HOXA10	aa	DUSP4	Activation
HOXA10	ii	EMX2	Inhibition
HOXA10	aa	FGF2	Activation
HOXA10	aa	IBSP	Activation
HOXA10	aa	ID2	Activation
HOXA10	aa	IGFBP1	Activation
HOXA10	aa	ITGB3	Activation
HOXA10	ii	KAT2B	Inhibition
HOXA10	ii	KLF9	Inhibition
HOXA10	aa	LYL1	Activation
HOXA10	aa	MIR100	Activation
HOXA10	aa	MIR125B1	Activation
HOXA10	aa	MIR125B2	Activation
HOXA10	aa	MIR99A	Activation
HOXA10	aa	MMP26	Activation
HOXA10	ii	NCF2	Inhibition
HOXA10	aa	RUNX2	Activation
HOXA10	aa	SP7	Activation
HOXA10	aa	TGFB2	Activation
HOXA11	ii	HOXA10	Inhibition
HOXA11	aa	PRL	Activation
HOXA11	aa	SIX2	Activation
HOXA13	aa	ALDH1A2	Activation
HOXA13	aa	BMP2	Activation
HOXA13	aa	BMP4	Activation
HOXA13	aa	BMP7	Activation
HOXA13	aa	ENPP2	Activation
HOXA13	aa	EPHA6	Activation
HOXA13	aa	EPHA7	Activation
HOXA13	aa	FHL1	Activation
HOXA13	aa	FOXF1	Activation
HOXA13	ii	SOSTDC1	Inhibition
HOXA13	aa	TEK	Activation
HOXA13	aa	WNT5A	Activation
HOXA2	aa	EPHA7	Activation
HOXA2	aa	HOXA2	Activation
HOXA2	aa	MEOX1	Activation
HOXA2	ii	MMP9	Inhibition
HOXA2	aa	PHOX2B	Activation
HOXA2	aa	ROBO2	Activation
HOXA2	ii	SIX2	Inhibition
HOXA4	aa	HOXA4	Activation
HOXA5	ii	DST	Inhibition
HOXA5	aa	MLH1	Activation
HOXA5	aa	PGR	Activation
HOXA5	aa	PTN	Activation
HOXA5	aa	SLC6A2	Activation
HOXA5	aa	TP53	Activation
HOXA7	aa	TERT	Activation
HOXA7	ii	TGM1	Inhibition
HOXA9	aa	BRCA1	Activation
HOXA9	aa	CREB1	Activation
HOXA9	aa	CYBB	Activation
HOXA9	aa	EPHB4	Activation
HOXA9	aa	FGF2	Activation
HOXA9	aa	FLT3	Activation
HOXA9	aa	KDR	Activation
HOXA9	aa	MEIS1	Activation
HOXA9	aa	MIR196B	Activation
HOXA9	aa	MIR21	Activation
HOXA9	aa	MSI2	Activation
HOXA9	aa	MYB	Activation
HOXA9	ii	NOS3	Inhibition
HOXA9	aa	PIM1	Activation
HOXA9	aa	PKNOX1	Activation
HOXA9	aa	SELE	Activation
HOXA9	aa	SHOX	Activation
HOXA9	ii	SPP1	Inhibition
HOXA9	aa	TGFB2	Activation
HOXB1	aa	EPHA2	Activation
HOXB1	aa	HOXB2	Activation
HOXB1	aa	OTX2	Activation
HOXB1	aa	PHOX2B	Activation
HOXB13	ii	ESR	Inhibition
HOXB13	aa	IL6	Activation
HOXB13	aa	NKX31	Activation
HOXB13	aa	ORM1	Activation
HOXB13	aa	RFX6	Activation
HOXB13	aa	SLC30A4	Activation
HOXB13	ii	TCF7L2	Inhibition
HOXB2	aa	HOXB1	Activation
HOXB2	aa	OTX2	Activation
HOXB2	aa	PHOX2B	Activation
HOXB3	aa	ALDH1A2	Activation
HOXB3	aa	CDCA3	Activation
HOXB3	aa	DNMT3B	Activation
HOXB3	aa	NKX21	Activation
HOXB3	aa	OTX2	Activation
HOXB4	ii	ABCA1	Inhibition
HOXB4	aa	ACTR3B	Activation
HOXB4	aa	ADAMTSL1	Activation
HOXB4	aa	AGAP2	Activation
HOXB4	ii	AHR	Inhibition
HOXB4	aa	B4GALNT4	Activation
HOXB4	aa	BAMBI	Activation
HOXB4	aa	BRINP1	Activation
HOXB4	ii	C1QB	Inhibition
HOXB4	aa	CASP8AP2	Activation
HOXB4	aa	CD34	Activation
HOXB4	ii	CD52	Inhibition
HOXB4	ii	DHX58	Inhibition
HOXB4	aa	DNMT3B	Activation
HOXB4	ii	ECM1	Inhibition
HOXB4	aa	FAM181B	Activation
HOXB4	aa	FBLN1	Activation
HOXB4	aa	GABBR1	Activation
HOXB4	ii	GFI1	Inhibition
HOXB4	aa	GPR65	Activation
HOXB4	aa	GRASP	Activation
HOXB4	aa	HEMGN	Activation
HOXB4	ii	HMBS	Inhibition
HOXB4	ii	HMOX1	Inhibition
HOXB4	aa	HOXB3	Activation
HOXB4	aa	HOXB4	Activation
HOXB4	aa	HOXB5	Activation
HOXB4	aa	IGFBP1	Activation
HOXB4	aa	IL12A	Activation
HOXB4	ii	IL4R	Inhibition
HOXB4	aa	IRX5	Activation
HOXB4	ii	ITGAM	Inhibition
HOXB4	ii	KDR	Inhibition
HOXB4	aa	LAPTM4B	Activation
HOXB4	aa	LRRN4	Activation
HOXB4	aa	MRPS31	Activation
HOXB4	ii	MYC	Inhibition
HOXB4	aa	MYCN	Activation
HOXB4	aa	NEURL3	Activation
HOXB4	aa	NOV	Activation
HOXB4	ii	OAS3	Inhibition
HOXB4	aa	PAEP	Activation
HOXB4	aa	PAX3	Activation
HOXB4	aa	PEG10	Activation
HOXB4	ii	PLD4	Inhibition
HOXB4	ii	PTPRC	Inhibition
HOXB4	ii	PXMP2	Inhibition
HOXB4	aa	RAB38	Activation
HOXB4	ii	RBM47	Inhibition
HOXB4	ii	RNASEL	Inhibition
HOXB4	aa	RUNX1	Activation
HOXB4	ii	S100A8	Inhibition
HOXB4	aa	SLCO3A1	Activation
HOXB4	aa	SOX4	Activation
HOXB4	ii	SPI1	Inhibition
HOXB4	ii	TERF2IP	Inhibition
HOXB4	ii	TMEM86A	Inhibition
HOXB4	ii	WSB2	Inhibition
HOXB4	aa	ZNF317	Activation
HOXB5	aa	KDR	Activation
HOXB5	aa	RET	Activation
HOXB5	aa	SERPINB6	Activation
HOXB8	ii	ACTA2	Inhibition
HOXB8	ii	MYLK	Inhibition
HOXB8	aa	SHH	Activation
HOXB8	ii	TAGLN	Inhibition
HOXB9	aa	AREG	Activation
HOXB9	aa	EREG	Activation
HOXB9	aa	FGF2	Activation
HOXB9	aa	NRG2	Activation
HOXB9	aa	TGFB1	Activation
HOXB9	aa	TGFB2	Activation
HOXB9	aa	VEGFA	Activation
HOXC11	ii	CD24	Inhibition
HOXC11	aa	LCT	Activation
HOXC11	ii	MMP2	Inhibition
HOXC11	ii	MMP9	Inhibition
HOXC11	ii	PAWR	Inhibition
HOXC11	aa	S100B	Activation
HOXC13	ii	CRISP1	Inhibition
HOXC13	ii	DSG4	Inhibition
HOXC13	aa	FOXN1	Activation
HOXC13	ii	FOXQ1	Inhibition
HOXC13	aa	KRT32	Activation
HOXC13	aa	KRT35	Activation
HOXC13	aa	KRT37	Activation
HOXC13	ii	KRTAP161	Inhibition
HOXC13	ii	KRTAP193	Inhibition
HOXC6	aa	ABCB1	Activation
HOXC6	ii	AMELY	Inhibition
HOXC6	aa	APBB1	Activation
HOXC6	aa	BCL2	Activation
HOXC6	ii	BCO2	Inhibition
HOXC6	aa	C14orf37	Activation
HOXC6	ii	CASP1	Inhibition
HOXC6	ii	CHRNA2	Inhibition
HOXC6	aa	CNTN1	Activation
HOXC6	aa	COL23A1	Activation
HOXC6	aa	DCN	Activation
HOXC6	aa	ERRFI1	Activation
HOXC6	aa	FAM101A	Activation
HOXC6	aa	FAM49A	Activation
